202052	202092	202081
202106	202047	202037
202106	202042	202104
202050	202013	202044
202016	202073	202088
202035	202092	202095
202068	202099	202079
202040	202025	202016
202081	202066	202064
202088	202100	202096
202012	202057	202006
202048	202061	202064
202080	202089	202077
202030	202033	202046
202097	202013	202074
202056	202051	202108
202056	202085	202051
202027	202007	202062
202085	202094	202056
202012	202071	202109
202093	202105	202069
202065	202094	202059
202101	202031	202038
202100	202027	202024
202019	202038	202033
202091	202028	202073
202030	202075	202066
202072	202079	202070
202057	202108	202032
202098	202106	202060
202101	202005	202030
202109	202012	202092
202013	202086	202097
202052	202003	202043
202042	202052	202028
202008	202004	202059
202099	202106	202027
202030	202028	202019
202101	202002	202081
202017	202039	202064
202089	202062	202105
202013	202004	202068
202053	202077	202021
202081	202072	202001
202067	202065	202059
202084	202021	202085
202005	202036	202083
202090	202074	202070
202065	202027	202094
202098	202077	202037
202071	202017	202070
202089	202049	202007
202091	202073	202031
202017	202048	202067
202027	202094	202059
202099	202054	202064
202050	202008	202107
202090	202058	202061
202061	202025	202002
202052	202034	202070
202091	202075	202031
202058	202097	202069
202078	202104	202033
202058	202069	202072
202095	202087	202051
202106	202075	202090
202090	202034	202070
202018	202077	202089
202014	202052	202066
202016	202060	202070
202057	202012	202025
202056	202029	202021
202024	202056	202094
202041	202105	202022
202015	202096	202098
202049	202062	202018
202058	202070	202079
202073	202031	202063
202095	202010	202077
202026	202028	202028
202065	202027	202024
202077	202092	202053
202088	202058	202015
202013	202020	202039
202060	202037	202088
202067	202011	202045
202029	202015	202078
202047	202038	202028
202088	202098	202061
202107	202075	202078
202049	202026	202093
202002	202037	202078
202087	202036	202021
202053	202040	202025
202057	202038	202032
202062	202023	202027
202044	202068	202107
202050	202097	202004
202036	202005	202016
202010	202107	202097
202048	202097	202058
202109	202051	202095
202014	202081	202033
202074	202076	202026
202108	202077	202095
202104	202008	202068
